{'dataset_name': 'NCI1', 'seed': 777, 'num_workers': 1, 'cov_weight': -1.0, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'bb95b1a8813c59d83babe87ddbda5038f12700fc', 'time_stamp': '1610281408', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=bb95b1a8813c59d83babe87ddbda5038f12700fc
Epoch: 125, Train Loss: -5.3618594, Train Acc: 0.9405245, Test Acc: 0.7980535, Train Cov: 5.5393414
Epoch: 126, Train Loss: -5.3499466, Train Acc: 0.9361990, Test Acc: 0.8004866, Train Cov: 5.5396891
Epoch: 127, Train Loss: -5.3629061, Train Acc: 0.9343066, Test Acc: 0.8029197, Train Cov: 5.5395298
Epoch: 128, Train Loss: -5.3518186, Train Acc: 0.9445796, Test Acc: 0.8102190, Train Cov: 5.5392170
Epoch: 129, Train Loss: -5.3726865, Train Acc: 0.9191673, Test Acc: 0.8053528, Train Cov: 5.5392723
Epoch: 130, Train Loss: -5.3718266, Train Acc: 0.9326845, Test Acc: 0.7907543, Train Cov: 5.5393605
Epoch: 131, Train Loss: -5.3567867, Train Acc: 0.9499865, Test Acc: 0.8029197, Train Cov: 5.5393920
Epoch: 132, Train Loss: -5.3835851, Train Acc: 0.9491755, Test Acc: 0.7980535, Train Cov: 5.5392771
Epoch: 133, Train Loss: -5.3822234, Train Acc: 0.9491755, Test Acc: 0.8102190, Train Cov: 5.5394244
Epoch: 134, Train Loss: -5.3806533, Train Acc: 0.9470127, Test Acc: 0.8248175, Train Cov: 5.5395679
Epoch: 135, Train Loss: -5.3797337, Train Acc: 0.9526899, Test Acc: 0.8077859, Train Cov: 5.5390821
Epoch: 136, Train Loss: -5.3647869, Train Acc: 0.9470127, Test Acc: 0.7980535, Train Cov: 5.5390596
Epoch: 137, Train Loss: -5.3915002, Train Acc: 0.9594485, Test Acc: 0.8102190, Train Cov: 5.5394759
Epoch: 138, Train Loss: -5.3936421, Train Acc: 0.9467424, Test Acc: 0.8004866, Train Cov: 5.5396008
Epoch: 139, Train Loss: -5.3605000, Train Acc: 0.9462017, Test Acc: 0.8077859, Train Cov: 5.5394721
Epoch: 140, Train Loss: -5.3625309, Train Acc: 0.9462017, Test Acc: 0.8004866, Train Cov: 5.5389028
Epoch: 141, Train Loss: -5.3756092, Train Acc: 0.9494458, Test Acc: 0.8077859, Train Cov: 5.5389571
Epoch: 142, Train Loss: -5.3832740, Train Acc: 0.9405245, Test Acc: 0.8029197, Train Cov: 5.5390186
Epoch: 143, Train Loss: -5.3737184, Train Acc: 0.9418762, Test Acc: 0.8077859, Train Cov: 5.5388794
Epoch: 144, Train Loss: -5.3535456, Train Acc: 0.9383617, Test Acc: 0.8053528, Train Cov: 5.5385537
Epoch: 145, Train Loss: -5.3707449, Train Acc: 0.9532306, Test Acc: 0.8126521, Train Cov: 5.5388045
Epoch: 146, Train Loss: -5.3965164, Train Acc: 0.9640443, Test Acc: 0.8126521, Train Cov: 5.5388398
Epoch: 147, Train Loss: -5.3986254, Train Acc: 0.9556637, Test Acc: 0.8077859, Train Cov: 5.5390577
Epoch: 148, Train Loss: -5.4076856, Train Acc: 0.9583671, Test Acc: 0.7907543, Train Cov: 5.5394325
Epoch: 149, Train Loss: -5.4074497, Train Acc: 0.9564747, Test Acc: 0.8175182, Train Cov: 5.5393014
Epoch: 150, Train Loss: -5.3935278, Train Acc: 0.9443093, Test Acc: 0.8053528, Train Cov: 5.5392542
Epoch: 151, Train Loss: -5.4040701, Train Acc: 0.9678291, Test Acc: 0.8150852, Train Cov: 5.5394564
Epoch: 152, Train Loss: -5.4291789, Train Acc: 0.9467424, Test Acc: 0.7931873, Train Cov: 5.5397482
Epoch: 153, Train Loss: -5.4234291, Train Acc: 0.9629630, Test Acc: 0.7980535, Train Cov: 5.5396690
Epoch: 154, Train Loss: -5.4327883, Train Acc: 0.9664774, Test Acc: 0.8150852, Train Cov: 5.5396357
Epoch: 155, Train Loss: -5.4241166, Train Acc: 0.9680995, Test Acc: 0.8053528, Train Cov: 5.5395823
Epoch: 156, Train Loss: -5.4270767, Train Acc: 0.9718843, Test Acc: 0.8248175, Train Cov: 5.5396538
Epoch: 157, Train Loss: -5.4344300, Train Acc: 0.9713436, Test Acc: 0.8150852, Train Cov: 5.5398660
Epoch: 158, Train Loss: -5.4408217, Train Acc: 0.9702622, Test Acc: 0.8175182, Train Cov: 5.5398111
Epoch: 159, Train Loss: -5.4350258, Train Acc: 0.9724250, Test Acc: 0.8272506, Train Cov: 5.5399303
Epoch: 160, Train Loss: -5.4279260, Train Acc: 0.9716139, Test Acc: 0.8199513, Train Cov: 5.5399461
Epoch: 161, Train Loss: -5.4396850, Train Acc: 0.9781022, Test Acc: 0.8126521, Train Cov: 5.5400395
Epoch: 162, Train Loss: -5.4417084, Train Acc: 0.9602595, Test Acc: 0.8126521, Train Cov: 5.5400519
Epoch: 163, Train Loss: -5.4242683, Train Acc: 0.9683698, Test Acc: 0.8077859, Train Cov: 5.5400643
Epoch: 164, Train Loss: -5.4300661, Train Acc: 0.9645850, Test Acc: 0.7883212, Train Cov: 5.5401917
Epoch: 165, Train Loss: -5.4324049, Train Acc: 0.9735064, Test Acc: 0.8199513, Train Cov: 5.5400782
Epoch: 166, Train Loss: -5.4399351, Train Acc: 0.9708029, Test Acc: 0.8175182, Train Cov: 5.5399356
Epoch: 167, Train Loss: -5.4246191, Train Acc: 0.9680995, Test Acc: 0.8077859, Train Cov: 5.5397248
Epoch: 168, Train Loss: -5.4444674, Train Acc: 0.9772912, Test Acc: 0.7931873, Train Cov: 5.5398469
Epoch: 169, Train Loss: -5.4445501, Train Acc: 0.9648554, Test Acc: 0.7980535, Train Cov: 5.5399961
Epoch: 170, Train Loss: -5.4214911, Train Acc: 0.9672885, Test Acc: 0.8102190, Train Cov: 5.5398350
Epoch: 171, Train Loss: -5.4362637, Train Acc: 0.9770208, Test Acc: 0.8102190, Train Cov: 5.5396881
Epoch: 172, Train Loss: -5.4345915, Train Acc: 0.9716139, Test Acc: 0.8077859, Train Cov: 5.5398126
Epoch: 173, Train Loss: -5.4442542, Train Acc: 0.9689105, Test Acc: 0.8248175, Train Cov: 5.5398693
Epoch: 174, Train Loss: -5.4295462, Train Acc: 0.9710733, Test Acc: 0.8102190, Train Cov: 5.5395551
Epoch: 175, Train Loss: -5.4442073, Train Acc: 0.9797242, Test Acc: 0.8102190, Train Cov: 5.5397964
Epoch: 176, Train Loss: -5.4528743, Train Acc: 0.9816167, Test Acc: 0.8126521, Train Cov: 5.5397787
Epoch: 177, Train Loss: -5.4399831, Train Acc: 0.9759394, Test Acc: 0.8102190, Train Cov: 5.5399218
Epoch: 178, Train Loss: -5.4449051, Train Acc: 0.9702622, Test Acc: 0.7956204, Train Cov: 5.5394883
Epoch: 179, Train Loss: -5.4354739, Train Acc: 0.9756691, Test Acc: 0.8248175, Train Cov: 5.5396729
Epoch: 180, Train Loss: -5.4444296, Train Acc: 0.9735064, Test Acc: 0.8004866, Train Cov: 5.5397019
Epoch: 181, Train Loss: -5.4534184, Train Acc: 0.9794539, Test Acc: 0.8102190, Train Cov: 5.5397286
Epoch: 182, Train Loss: -5.4595500, Train Acc: 0.9740470, Test Acc: 0.8150852, Train Cov: 5.5398655
Epoch: 183, Train Loss: -5.4477794, Train Acc: 0.9756691, Test Acc: 0.8029197, Train Cov: 5.5398483
Epoch: 184, Train Loss: -5.4591027, Train Acc: 0.9821573, Test Acc: 0.8175182, Train Cov: 5.5398102
Epoch: 185, Train Loss: -5.4647105, Train Acc: 0.9813463, Test Acc: 0.7956204, Train Cov: 5.5399413
Epoch: 186, Train Loss: -5.4530085, Train Acc: 0.9691809, Test Acc: 0.8102190, Train Cov: 5.5401192
Epoch: 187, Train Loss: -5.4560377, Train Acc: 0.9772912, Test Acc: 0.8126521, Train Cov: 5.5400305
Epoch: 188, Train Loss: -5.4558073, Train Acc: 0.9808056, Test Acc: 0.8296837, Train Cov: 5.5401216
Epoch: 189, Train Loss: -5.4578733, Train Acc: 0.9821573, Test Acc: 0.8102190, Train Cov: 5.5400915
Epoch: 190, Train Loss: -5.4522777, Train Acc: 0.9632333, Test Acc: 0.8102190, Train Cov: 5.5400620
